"lang","task","contest_num","nickname","solution_exists","try_cnt"
GNU C++11,B - Simple sort,1,folkl,1,0
GNU C++11,B - Simple sort,1,kbrodt,1,0
GNU C++11,B - Simple sort,1,matiiv,1,0
GNU C++11,B - Simple sort,1,obatek,1,0
GNU C++11,B - Simple sort,1,soldatenkoes,1,1
GNU C++11,B - Simple sort,1,teazizov,1,1
GNU C++11,B - Simple sort,1,toryinside,1,3
GNU C++11,B - Simple sort,1,vivaXAPOH,1,0
GNU C++11,B - Sparse table,7,MargaritaNik,1,0
GNU C++11,B - Sparse table,7,kbrodt,1,1
GNU C++11,B - Sparse table,7,soldatenkoes,1,0
GNU C++11,B - Turtle and Money,6,MargaritaNik,1,10
GNU C++11,B - Turtle and Money,6,PavelMeld,1,1
GNU C++11,B - Turtle and Money,6,kbrodt,1,0
GNU C++11,B - Turtle and Money,6,soldatenkoes,1,0
GNU C++11,B - Кратчайший путь,11,Malahai,1,0
GNU C++11,B - Кратчайший путь,11,MargaritaNik,1,0
GNU C++11,B - Кратчайший путь,11,PavelMeld,1,19
GNU C++11,B - Кратчайший путь,11,lainer991,1,2
GNU C++11,B - Неявный ключ,9,PavelMeld,1,1
GNU C++11,B - Неявный ключ,9,kbrodt,1,1
GNU C++11,B - Подсчет опыта,12,MargaritaNik,1,0
GNU C++11,B - Подсчет опыта,12,pankratova.dasha,1,0
GNU C++11,B - Сортировка подсчетом,2,Asd_zxc,1,0
GNU C++11,B - Сортировка подсчетом,2,KotikKo,1,1
GNU C++11,B - Сортировка подсчетом,2,MargaritaNik,1,0
GNU C++11,B - Сортировка подсчетом,2,aorew,1,1
GNU C++11,B - Сортировка подсчетом,2,kbrodt,1,0
GNU C++11,B - Сортировка подсчетом,2,obatek,1,1
GNU C++11,B - Сортировка подсчетом,2,olegshchegolev,1,1
GNU C++11,B - Сортировка подсчетом,2,soldatenkoes,1,0
GNU C++11,B - Сортировка подсчетом,2,teazizov,1,0
GNU C++11,B - Сортировка подсчетом,2,vivaXAPOH,1,0
GNU C++11,C - Cycle of negative weight,11,MargaritaNik,1,5
GNU C++11,C - Cycle of negative weight,11,PavelMeld,1,17
GNU C++11,C - Cycle of negative weight,11,kbrodt,1,0
GNU C++11,C - Cycle of negative weight,11,lainer991,1,2
GNU C++11,C - LinkedMap,5,MargaritaNik,1,4
