"contest_num","nickname","passed_time"
1,FarSir,444780
1,FarSir,444720
1,FarSir,444600
1,FarSir,444060
1,a.m.tsitulskiy,443760
1,mat90x,440940
1,vovchik_zh,440700
1,AlinaZemlev,440520
1,vovchik_zh,440400
1,Oleg__Trusov,440400
1,rritka,436620
1,tohich51,436560
1,tohich51,436200
1,rritka,434760
1,rritka,434700
1,JunkieStyle,434460
1,LunatiP,433860
1,rritka,433860
1,d.pronin,433680
1,rritka,433560
1,AlinaZemlev,433500
1,rritka,431760
1,ivkonst,430920
1,ivkonst,430860
1,MargaritaNik,430560
1,lainer991,430380
1,lainer991,430020
1,ivkonst,429300
1,tohich51,429300
1,tohich51,429180
1,Alexander429,428100
1,Alexander429,427620
1,MargaritaNik,427200
1,ivkonst,426900
1,MargaritaNik,426840
1,norron,426540
1,AlinaZemlev,426480
1,MargaritaNik,426180
1,MargaritaNik,425700
1,AlinaZemlev,425040
1,MargaritaNik,424860
1,Alexander429,424620
1,MargaritaNik,424260
1,norron,424080
1,AlinaZemlev,423660
1,AlinaZemlev,423120
1,krveronika0191,422820
1,mat90x,422700
1,mat90x,422520
1,mat90x,422460
1,mat90x,421620
1,MargaritaNik,421020
1,MargaritaNik,420720
1,JessSmith,420300
1,BigBossPikachu,420240
1,MargaritaNik,419100
1,BigBossPikachu,418680
1,MargaritaNik,418620
1,JessSmith,418140
1,BasharovIlya,417480
1,Alexander429,417420
1,rritka,417360
1,rritka,417000
1,rritka,416640
1,KuznetsovLeonid,416340
1,rritka,416100
1,rritka,415560
1,Alexander429,415380
1,lena.antonova,415020
1,BasharovIlya,414960
1,BigBossPikachu,414720
1,BasharovIlya,414660
1,BasharovIlya,414600
1,lena.antonova,414300
1,KuznetsovLeonid,414060
1,adement,413460
1,BigBossPikachu,413340
1,BigBossPikachu,413160
1,BigBossPikachu,412860
1,BigBossPikachu,412680
1,d.pronin,412440
1,alekandr.tarelkin,412380
1,lena.antonova,412260
1,markhubbatulin,411180
1,markhubbatulin,411060
1,alekandr.tarelkin,410940
1,alekandr.tarelkin,410820
1,alekandr.tarelkin,410700
1,lena.antonova,410400
